Mouse # / gating level,Statistic (%),# of Cells
"1193 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",12,228108
1194 tumor.fcs,8059872,
1194 tumor.fcs/All Cells,69,5560954
1194 tumor.fcs/All Cells/Single Cells,67.2,3737662
1194 tumor.fcs/All Cells/Single Cells/Single Cells,93.4,3491852
1194 tumor.fcs/All Cells/Single Cells/Single Cells/Live,79,2759096
1194 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,97.4,2686504
1194 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,95.5,2566404
1194 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,21.3,546043
1194 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,53.7,1378507
"1194 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.01,280
"1194 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",90.7,2437255
"1194 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",5.77,154953
"1194 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",3.5,94016
1195 tumor.fcs,16488392,
1195 tumor.fcs/All Cells,27,4448150
1195 tumor.fcs/All Cells/Single Cells,78,3470198
1195 tumor.fcs/All Cells/Single Cells/Single Cells,92.7,3217800
1195 tumor.fcs/All Cells/Single Cells/Single Cells/Live,61.8,1989471
1195 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,95.7,1903072
1195 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,91.8,1746412
1195 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,8.01,139840
1195 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,72.3,1262732
"1195 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.028,526
"1195 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",89,1693967
"1195 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",4.09,77875
"1195 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",6.87,130704
1196 tumor.fcs,7072080,
1196 tumor.fcs/All Cells,31.3,2210874
1196 tumor.fcs/All Cells/Single Cells,71.8,1586439
1196 tumor.fcs/All Cells/Single Cells/Single Cells,90.8,1441169
1196 tumor.fcs/All Cells/Single Cells/Single Cells/Live,59,850856
1196 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,93.4,794626
1196 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,89.3,709441
1196 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,9.77,69325
